nom_gare;code_uic_complet;code_postal;segmentation_drg;total_voyageurs_2021;total_voyageurs_non_voyageurs_2021;total_voyageurs_2020;total_voyageurs_non_voyageurs_2020;total_voyageurs_2019;total_voyageurs_non_voyageurs_2019;total_voyageurs_2018;total_voyageurs_non_voyageurs_2018;totalvoyageurs2017;total_voyageurs_non_voyageurs_2017;total_voyageurs_2016;total_voyageurs_non_voyageurs_2016;total_voyageurs_2015;total_voyageurs_non_voyageurs_2015;comptages;description;image
Lesquin;87286849;59810;b;116200;145250;102760;128450;181001;226251;167601;209501;187268;234085;173908;217385;175318;219147;58.0;La gare de Lesquin est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune de Lesquin, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Gare_de_Lesquin_-_3.JPG/1024px-Gare_de_Lesquin_-_3.JPG
Leval;87295790;59620;c;2621;2621;2544;2544;3422;3422;2959;2959;2184;2184;1752;1752;1661;1661;4.0;La gare de Leval est une gare ferroviaire belge de la ligne 108, de Y Mariemont à Binche, située à proximité du centre de Leval-Trahegnies section de la commune de Binche dans la province de Hainaut en région wallonne.  Elle est mise en service en 1857 par la Compagnie du chemin de fer du centre. C'est une halte ferroviaire de la Société nationale des chemins de fer belges (SNCB) desservie par des trains InterCity (IC) et Heure de pointe (P).;https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Station_Leval_1.jpg/420px-Station_Leval_1.jpg
Lezennes;87287102;59260;c;582;582;532;532;1207;1207;1274;1274;1447;1447;1466;1466;1311;1311;11.0;La gare de Lezennes est une gare ferroviaire française de la ligne de Fives à Baisieux, située sur le territoire de la ville de Lille (plus précisément sur le territoire de l'ancienne commune d'Hellemmes et près du lieu-dit Mont-de-Terre dans le quartier de Fives), à proximité de la commune de Lezennes, dans le département du Nord en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Gare_de_Lezennes_-_1.JPG/420px-Gare_de_Lezennes_-_1.JPG
Liévin;87345041;62800;c;33095;33095;33409;33409;52898;52898;47261;47261;46384;46384;36854;36854;37700;37700;25.0;La gare de Liévin est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune de Liévin, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Li%C3%A9vin_-_Gare_de_Li%C3%A9vin_%2803%29.JPG/420px-Li%C3%A9vin_-_Gare_de_Li%C3%A9vin_%2803%29.JPG
Liancourt - Rantigny;87276212;60140;b;205514;223385;183338;199281;290944;316244;274179;298020;295252;320926;282746;307332;276860;300934;77.0;La gare de Liancourt - Rantigny est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Rantigny, dans le département de l'Oise en région Hauts-de-France. La gare est éloignée de 900 m de la mairie de Rantigny, et la mairie de Liancourt est distante de 2 000 m, alors que la mairie de Cauffry est à 350 m de distance seulement, bien que le nom de cette commune ne soit pas mentionné dans le nom de la gare. Mise en service en 1846 par la Compagnie du chemin de fer du Nord, c'est aujourd'hui une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Rantigny_%2860%29%2C_gare_de_Liancourt-Rantigny_3.jpg/1024px-Rantigny_%2860%29%2C_gare_de_Liancourt-Rantigny_3.jpg
Liancourt-Saint-Pierre;87381210;60240;c;18934;18934;14353;14353;23845;23845;25428;25428;31326;31326;30593;30593;30159;30159;;La gare de Liancourt-Saint-Pierre est une gare ferroviaire française de la ligne de Saint-Denis à Dieppe, située sur le territoire de la commune de Liancourt-Saint-Pierre, dans le département de l'Oise en région Hauts-de-France.  C'est une gare SNCF desservie par les trains du réseau Transilien Paris Saint-Lazare (ligne J).;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Gare_de_Liancourt-Saint-Pierre_01.jpg/1024px-Gare_de_Liancourt-Saint-Pierre_01.jpg
Libercourt;87345256;62820;b;599534;749418;550226;687783;839687;1049609;771411;964264;784942;981178;764323;955404;784994;981243;129.0;La gare de Libercourt est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Libercourt, dans le département du Pas-de-Calais, en région Hauts-de-France.  Elle est mise en service en 1865, par la Compagnie des mines de Carvin.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Libercourt_-_Station_-_3.JPG/1024px-Libercourt_-_Station_-_3.JPG
Lille CHR;87109306;59000;b;209963;262454;192628;240785;287018;358773;239606;299508;239655;299569;219877;274847;216828;271035;104.0;La gare de Lille-CHR est une gare ferroviaire française de la ligne de Fives à Abbeville, située sur le territoire de la ville de Lille, préfecture du département du Nord, en région Hauts-de-France. La proximité du centre hospitalier universitaire est à l'origine de son nom.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Gare_SNCF_de_Lille-CHR_1.JPG/1024px-Gare_SNCF_de_Lille-CHR_1.JPG
Lille Europe;87223263;59777;a;4337868;6885505;3303176;5243137;7754675;12309007;7696028;12215918;8314520;13197651;7780562;12350098;7846574;12454880;13.0;La gare de Lille-Europe est une gare ferroviaire française de la ligne à grande vitesse de Fretin à Fréthun, située en bordure du centre-ville de Lille, ville centre de la Métropole européenne de Lille, préfecture du département du Nord et de la région Hauts-de-France.  Elle est mise en service en 1994, lors de l'ouverture de la ligne à grande vitesse (LGV). Elle est la deuxième gare de la ville, pour le trafic voyageurs, après sa voisine la gare de Lille-Flandres.  Gare de la Société nationale des chemins de fer français (SNCF), elle est desservie par l'Eurostar, des TGV inOui et des TERGV. Elle permet des correspondances avec la station de métro Gare Lille-Europe.  Situation ferroviaire;https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Lille_Europe_%281%29.jpg/1024px-Lille_Europe_%281%29.jpg
Lille Flandres;87286005;59000;a;15935295;20171260;13906563;17603244;21809569;27607050;19284090;24410240;19793630;25055228;18418490;23314544;18780587;23772895;603.0;"La gare de Lille-Flandres est une gare ferroviaire française, aboutissement de la ligne de Paris-Nord à Lille. Avec le faisceau de voies établi à Fives, elle est au centre d'une importante étoile ferroviaire. C'est la gare principale de la ville de Lille, située en centre-ville, dans le département du Nord, en région Hauts-de-France.  Le terme Flandres est accolé à son nom en 1993, lors de l'ouverture de la gare voisine de Lille-Europe (située sur la LGV Nord). Ce choix est dû à sa situation en Flandre française.  Elle est mise en service en 1848 par la Compagnie des chemins de fer du Nord. C'est une gare de la SNCF, desservie par des TGV (TGV inOui et Ouigo), des InterCity (SNCB) et des trains express régionaux (réseau TER Hauts-de-France). La gare de Lille-Flandres est la plus grande gare TER de France en dehors de Paris ; elle est également la seconde gare de province quant à la fréquentation, après la gare de Lyon-Part-Dieu.";https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Lille_gare_lille_flandres_facade.jpg/1024px-Lille_gare_lille_flandres_facade.jpg
Lille Porte de Douai;87287250;59000;c;26591;26591;19925;19925;31099;31099;27727;27727;23505;23505;21321;21321;19537;19537;44.0;La gare de Lille-Porte-de-Douai est une gare ferroviaire française de la ligne de Fives à Abbeville, située sur le territoire de la ville de Lille, préfecture du département du Nord, en région Hauts-de-France.  Un point d'arrêt est mis en service en 1891 par la Compagnie des chemins de fer du Nord. C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Gare_de_Lille-Porte-de-Douai_-_1.JPG/1024px-Gare_de_Lille-Porte-de-Douai_-_1.JPG
Lillers;87342238;62190;b;143653;179567;124271;155339;199562;249452;210324;262906;252496;315620;254422;318027;270760;338450;44.0;La gare de Lillers est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune de Lillers, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Lillers_-_Train_station_-_1.JPG/420px-Lillers_-_Train_station_-_1.JPG
Loison-sous-Lens;87345231;62218;c;7817;7817;7162;7162;15112;15112;14600;14600;15199;15199;11559;11559;15488;15488;23.0;La gare de Loison est une gare ferroviaire française de la ligne de Lens à Don - Sainghin, située sur le territoire de la commune de Loison-sous-Lens, dans le département du Pas-de-Calais en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Loison-sous-Lens_-_Gare_de_Loison_%2801%29.JPG/1024px-Loison-sous-Lens_-_Gare_de_Loison_%2801%29.JPG
Longpont;87271775;2600;c;157;157;111;111;114;114;124;124;149;149;108;108;177;177;;La gare de Longpont est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Longpont, dans le département de l'Aisne, en région Hauts-de-France.  Elle est mise en service en 1862, par la Compagnie des chemins de fer du Nord.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Ligne_de_La_Plaine_%C3%A0_Hirson_et_Anor_%28fronti%C3%A8re%29_%E2%80%93_Gare_de_Longpont.JPG/1024px-Ligne_de_La_Plaine_%C3%A0_Hirson_et_Anor_%28fronti%C3%A8re%29_%E2%80%93_Gare_de_Longpont.JPG
Longpré-les-Corps-Saints;87313122;80510;b;107984;134980;95828;119785;140421;175526;140244;175305;155214;194017;148203;185253;147432;184290;30.0;La gare de Longpré-les-Corps-Saints est une gare ferroviaire française de la ligne de Longueau à Boulogne-Ville, située sur le territoire de la commune de Longpré-les-Corps-Saints, à proximité de Condé-Folie, dans le département de la Somme, en région Hauts-de-France.  Elle est mise en service en 1847 sous le nom de « Longpré », par la Compagnie du chemin de fer d'Amiens à Boulogne, avant de devenir une gare de la Compagnie des chemins de fer du Nord.  Ancien nœud ferroviaire local, c'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/LONGPRE.JPG/420px-LONGPRE.JPG
Longueau;87313049;80330;b;327802;409753;285493;356867;475674;594592;439365;549207;460088;575110;446487;558108;468219;585274;195.0;"La gare de Longueau est un important site ferroviaire français situé sur les territoires des communes de Boves et de Longueau (à environ 1 000 mètres du centre-ville de cette dernière), dans le département de la Somme, en région Hauts-de-France. Le site comprend une gare voyageurs, un dépôt, un triage désaffecté et de nombreuses voies de garage. Cette configuration résulte de sa situation à la bifurcation des lignes Paris – Lille et Paris – Amiens – Boulogne, mais également Compiègne – Amiens et Amiens – Tergnier – Laon.  Une station est ouverte vers 1853, par la Compagnie des chemins de fer du Nord. Elle est déplacée en 1883, pour être établie en tant que gare de la bifurcation précitée ; les importantes installations qui la jouxtent ont été développées à partir de la même date.  Dans les années 2020, cette gare de la Société nationale des chemins de fer français (SNCF) est desservie par des trains express régionaux du réseau TER Hauts-de-France.";https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Gare_de_Longueau_2019.jpg/420px-Gare_de_Longueau_2019.jpg
Longueil-Annel;87272195;60150;c;19333;19333;13925;13925;22887;22887;22726;22726;23440;23440;21085;21085;18279;18279;35.0;La gare de Longueil-Annel est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune de Longueil-Annel, dans le département de l'Oise, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains du réseau des transports express de la région Hauts-de-France (TER Hauts-de-France).;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Gare_Longueil-Annel.JPG/1024px-Gare_Longueil-Annel.JPG
Longueil-Sainte-Marie;87276303;60126;c;34405;34405;24630;24630;40050;40050;36959;36959;45314;45314;46988;46988;43509;43509;18.0;La gare de Longueil-Sainte-Marie est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune de Longueil-Sainte-Marie, à 4 km de Verberie, dans le département de l'Oise, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Gare_de_Longueil_sainte_Marie.jpg/1024px-Gare_de_Longueil_sainte_Marie.jpg
Loos lez Lille;87286112;59120;c;30951;30951;24225;24225;40088;40088;28581;28581;29733;29733;27143;27143;28504;28504;45.0;La gare de Loos-lez-Lille est une gare ferroviaire française de la ligne de Fives à Abbeville, située sur le territoire de la commune de Loos, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains du réseau régional TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Gare_de_Loos_-_3.JPG/1024px-Gare_de_Loos_-_3.JPG
Loos-en-Gohelle;87345033;62750;c;5819;5819;7080;7080;18290;18290;13253;13253;13300;13300;10081;10081;9863;9863;2.0;La gare de Loos-en-Gohelle est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune de Lens, à proximité de Loos-en-Gohelle, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Loos-en-Gohelle_-_Gare_de_Loos-en-Gohelle_%2802%29.JPG/420px-Loos-en-Gohelle_-_Gare_de_Loos-en-Gohelle_%2802%29.JPG
Lourches;87343475;59172;c;6932;6932;8826;8826;15041;15041;14353;14353;13822;13822;11772;11772;10803;10803;27.0;La gare de Lourches est une gare ferroviaire française de la ligne de Busigny à Somain, située sur le territoire de la commune de Rœulx, à proximité de Lourches, dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1857 par la Compagnie des chemins de fer du Nord. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/R%C5%93ulx_-_Gare_de_Lourches_%2802%29.JPG/420px-R%C5%93ulx_-_Gare_de_Lourches_%2802%29.JPG
Louvroil;87295535;59720;c;1683;1683;2513;2513;4365;4365;3192;3192;3810;3810;4065;4065;4706;4706;2.0;La gare de Louvroil est une gare ferroviaire française de la ligne de Creil à Jeumont, située sur le territoire de la commune de Louvroil, dans le département du Nord en région Hauts-de-France.  En 1886, la Compagnie des chemins de fer du Nord met en service un point d'arrêt. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Gare_de_Louvroil.jpg/420px-Gare_de_Louvroil.jpg
Méricourt - Ribemont;87313064;80340;c;42876;42876;35184;35184;39174;39174;35096;35096;32162;32162;30772;30772;29761;29761;17.0;La gare de Méricourt - Ribémont est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située sur le territoire de la commune de Méricourt-l'Abbé, à proximité de Ribemont-sur-Ancre, dans le département de la Somme, en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/BV_de_M%C3%A9ricourt_-_Ribemont_%282%29_par_Cramos.JPG/420px-BV_de_M%C3%A9ricourt_-_Ribemont_%282%29_par_Cramos.JPG
Méru;87313668;60110;b;720919;901149;585310;731637;868888;1086110;804890;1006113;897366;1121708;857444;1071806;803770;1004713;37.0;La gare de Méru est une gare ferroviaire française de la ligne d'Épinay - Villetaneuse au Tréport - Mers, située sur le territoire de la commune de Méru, à 700 mètres du centre-ville, dans le département de l'Oise, en région Hauts-de-France.  Elle est mise en service en 1875 par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/BV_de_M%C3%A9ru_par_Cramos.JPG/420px-BV_de_M%C3%A9ru_par_Cramos.JPG
Marcelcave;87313445;80720;c;46928;46928;43568;43568;50551;50551;45126;45126;41982;41982;41023;41023;40878;40878;24.0;La gare de Marcelcave est une gare ferroviaire française de la ligne d'Amiens à Laon, située à proximité du village centre sur le territoire de la commune de Marcelcave, dans le département de la Somme en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/MARCELCAVE.JPG/1024px-MARCELCAVE.JPG
Maresquel-Ecquemicourt;87317206;62990;c;1346;1346;1;1;0;0;15;15;165;165;571;571;711;711;8.0;La gare de Maresquel est une gare ferroviaire française de la ligne de Saint-Pol-sur-Ternoise à Étaples, située sur le territoire de la commune de Maresquel-Ecquemicourt, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Gare_de_Maresquel_-_2.JPG/420px-Gare_de_Maresquel_-_2.JPG
Mareuil-sur-Ourcq;87116665;60890;c;83196;83196;62353;62353;114428;114428;105590;105590;104482;104482;98799;98799;90117;90117;;La gare de Mareuil-sur-Ourcq est une gare ferroviaire française de la ligne de Trilport à Bazoches, située sur le territoire de la commune de Mareuil-sur-Ourcq, dans le département de l'Oise en région Hauts-de-France.  Elle est mise en service en 1894 par la compagnie des chemins de fer de l'Est.  Halte voyageurs de la Société nationale des chemins de fer français (SNCF), elle est desservie par les trains de la ligne P du Transilien.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Gare_de_Mareuil-sur-Ourcq_01.jpg/1024px-Gare_de_Mareuil-sur-Ourcq_01.jpg
Margival;87271882;2880;c;0;0;0;0;1;1;1;1;1;1;10;10;37;37;;La gare de Margival est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Margival dans le département de l'Aisne, en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Margival_%28Aisne%29_la_gare_%C3%A0_travers_la_vitre_d%27un_train.JPG/1024px-Margival_%28Aisne%29_la_gare_%C3%A0_travers_la_vitre_d%27un_train.JPG
Marle sur Serre;87296095;2250;c;48857;48857;44179;44179;51637;51637;49286;49286;53603;53603;53784;53784;56228;56228;39.0;La gare de Marle-sur-Serre est une gare ferroviaire française de la ligne de La Plaine à Hirson et Anor (frontière), située sur le territoire de la commune de Marle, dans le département de l'Aisne, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/TER_en_gare_de_Marle_sur_Serre.JPG/1024px-TER_en_gare_de_Marle_sur_Serre.JPG
Maroeuil;87342188;62161;c;5573;5573;9351;9351;14208;14208;13588;13588;20374;20374;21672;21672;22069;22069;18.0;La gare de Marœuil est une gare ferroviaire française de la ligne d'Arras à Saint-Pol-sur-Ternoise, située sur le territoire de la commune de Marœuil dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.  ;https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Maroeuil_gare_d%C3%A9saffect%C3%A9e.jpg/1024px-Maroeuil_gare_d%C3%A9saffect%C3%A9e.jpg
Marquette;87287169;59252;c;10;10;140;140;42;42;121;121;13;13;14;14;6;6;6.0;La gare de Marquette était une gare ferroviaire française de la ligne de La Madeleine à Comines-France, située sur le territoire de la commune de Marquette-lez-Lille, dans le département du Nord en région Hauts-de-France.  Il s'agissait une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Gare_de_Marquette.JPG/1024px-Gare_de_Marquette.JPG
Marquillies;87342469;59274;c;8763;8763;8753;8753;18664;18664;16557;16557;17314;17314;19534;19534;20913;20913;22.0;La gare de Marquillies est une gare ferroviaire française de la ligne de Fives à Abbeville, située sur le territoire de la commune de Marquillies dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gare_de_Marquillies_-_2.JPG/1024px-Gare_de_Marquillies_-_2.JPG
Marquise - Rinxent;87317339;62250;b;123720;154650;105312;131640;137867;172334;139133;173916;160432;200540;154999;193749;170801;213501;50.0;La gare de Marquise - Rinxent est une gare ferroviaire française de la ligne de Boulogne-Ville à Calais-Maritime, située sur le territoire de la commune de Rinxent, à proximité de Marquise, dans le département du Pas-de-Calais en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. Elle est ouverte au service du fret.;https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/MARQUISE.jpg/420px-MARQUISE.jpg
Marseille-en-Beauvaisis;87313726;60860;c;41085;41085;27336;27336;28586;28586;30307;30307;34135;34135;34684;34684;34494;34494;45.0;La gare de Marseille-en-Beauvaisis est une gare ferroviaire française de la ligne d'Épinay - Villetaneuse au Tréport - Mers, située sur le territoire de la commune de Marseille-en-Beauvaisis, dans le département de l'Oise, en région Hauts-de-France.  C'est un point d'arrêt sans personnel de la Société nationale des chemins de fer français (SNCF), desservi par des trains régionaux du réseau TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Gare_de_Marseille_en_Bvsis_-_PANG_2.jpg/1024px-Gare_de_Marseille_en_Bvsis_-_PANG_2.jpg
Maubeuge;87295006;59600;b;412450;644453;337479;527311;527684;824507;477615;746274;481661;752595;431890;674829;475237;742558;97.0;La gare de Maubeuge est une gare ferroviaire française de la ligne de Creil à Jeumont, située au sud-ouest du centre-ville de Maubeuge, à proximité de la commune de Louvroil, dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1855, par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains régionaux du réseau TER Hauts-de-France et par la ligne S63 du réseau express régional de Charleroi (SNCB).;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Maubeuge_station.jpg/420px-Maubeuge_station.jpg
Maurois;87345546;59980;c;158;158;179;179;337;337;474;474;112;112;606;606;1118;1118;2.0;La gare de Maurois est une halte ferroviaire française de la ligne de Busigny à Somain, située sur le territoire de la commune d'Honnechy, à proximité de Maurois, dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1888 par la Compagnie des chemins de fer du Nord. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Maurois_railway_station.jpg/420px-Maurois_railway_station.jpg
Mazingarbe;87342121;62670;c;298;298;480;480;1088;1088;1386;1386;1009;1009;1605;1605;1373;1373;2.0;La gare de Mazingarbe est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune de Mazingarbe, dans le département du Pas-de-Calais, en région Hauts-de-France.  La Compagnie des chemins de fer du Nord ouvre un arrêt facultatif vers 1900 et une halte dans les années 1920. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Mazingarbe_-_Gare_de_Mazingarbe_%2805%29.JPG/1024px-Mazingarbe_-_Gare_de_Mazingarbe_%2805%29.JPG
Mennessis;87296434;2700;c;9494;9494;6485;6485;6698;6698;8141;8141;8656;8656;8732;8732;10404;10404;51.0;La gare de Mennessis est une gare ferroviaire française des lignes de Creil à Jeumont et d'Amiens à Laon, située sur le territoire de la commune de Mennessis, dans le département de l'Aisne en région Hauts-de-France.  C'est une halte ferroviaire de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mennessis_%28Aisne%29_la_gare_%2801%29.JPG/420px-Mennessis_%28Aisne%29_la_gare_%2801%29.JPG
Meurchin;87345272;62410;c;31813;31813;34147;34147;75042;75042;66272;66272;66424;66424;64637;64637;66669;66669;23.0;La gare de Meurchin est une gare ferroviaire française de la ligne de Lens à Don - Sainghin, située sur le territoire de la commune de Meurchin, dans le département du Pas-de-Calais en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Meurchin_-_Gare_de_Meurchin_%2809%29.JPG/420px-Meurchin_-_Gare_de_Meurchin_%2809%29.JPG
Milly-sur-Thérain;87313700;60112;c;4557;4557;4098;4098;5878;5878;7516;7516;7719;7719;7829;7829;8988;8988;44.0;La gare de Milly-sur-Thérain est une gare ferroviaire française de la ligne d'Épinay - Villetaneuse au Tréport - Mers, située sur le territoire de la commune de Milly-sur-Thérain dans le département de l'Oise, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF) desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Gare_de_Milly-sur-Th%C3%A9rain_-_vue_g%C3%A9n%C3%A9rale_depuis_les_voies_WP_20171008_11_19_51_Pro.jpg/420px-Gare_de_Milly-sur-Th%C3%A9rain_-_vue_g%C3%A9n%C3%A9rale_depuis_les_voies_WP_20171008_11_19_51_Pro.jpg
Miraumont;87342030;80300;c;16002;16002;12158;12158;20130;20130;19214;19214;19506;19506;17402;17402;17180;17180;17.0;La gare de Miraumont est une gare ferroviaire française de la ligne de Paris-Nord à Lille, située entre le village centre et le hameau la Fontaine de la commune de Miraumont1, dans le département de la Somme, en région Hauts-de-France.  C'est une halte de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER.;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Gare_de_Miraumont_1.JPG/1024px-Gare_de_Miraumont_1.JPG
Mont de Terre;87287128;59000;c;99;99;452;452;2950;2950;3589;3589;3407;3407;3484;3484;2826;2826;4.0;La gare de Mont-de-Terre est une gare ferroviaire française de la ligne de Fives à Hirson, située dans le quartier de Fives, sur le territoire de la ville de Lille (anciennement Hellemmes), préfecture du département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France.;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Gare_de_Mont-de-Terre_-_1.JPG/420px-Gare_de_Mont-de-Terre_-_1.JPG
