nom_gare;code_uic_complet;code_postal;segmentation_drg;total_voyageurs_2021;total_voyageurs_non_voyageurs_2021;total_voyageurs_2020;total_voyageurs_non_voyageurs_2020;total_voyageurs_2019;total_voyageurs_non_voyageurs_2019;total_voyageurs_2018;total_voyageurs_non_voyageurs_2018;totalvoyageurs2017;total_voyageurs_non_voyageurs_2017;total_voyageurs_2016;total_voyageurs_non_voyageurs_2016;total_voyageurs_2015;total_voyageurs_non_voyageurs_2015;comptages;description;image
Ascq;87286864;59650;c;12672;12672;9877;9877;16603;16603;18741;18741;17590;17590;14407;14407;14630;14630;33.0;La gare d'Ascq est une gare ferroviaire française de la ligne de Somain à Halluin, située dans l'ancien village d'Ascq devenu un quartier de Villeneuve-d'Ascq, dans le département du Nord en région Hauts-de-France.  Elle est mise en service en 1865 par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/%C3%89tat_de_la_section_d%27Orchies_%C3%A0_Ascq_de_la_ligne_de_Somain_%C3%A0_Halluin_au_15_octobre_2017_%28390%2C_gare_d%27Ascq%29.JPG/1024px-%C3%89tat_de_la_section_d%27Orchies_%C3%A0_Ascq_de_la_ligne_de_Somain_%C3%A0_Halluin_au_15_octobre_2017_%28390%2C_gare_d%27Ascq%29.JPG
Aubigny-au-Bac;87345447;59265;c;23090;23090;25519;25519;50636;50636;44209;44209;47944;47944;49293;49293;52267;52267;23.0;La gare d'Aubigny-au-Bac est une gare ferroviaire française de la ligne de Saint-Just-en-Chaussée à Douai, située sur le territoire de la commune d'Aubigny-au-Bac dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1881 par la Compagnie des chemins de fer de Picardie et des Flandres avant de devenir une gare de la Compagnie des chemins de fer du Nord en 1883. C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Aubigny_ext.jpg/280px-Aubigny_ext.jpg
Aubigny-en-Artois;87342246;62690;c;21048;21048;39296;39296;50207;50207;48982;48982;58250;58250;60607;60607;63351;63351;19.0;La gare d'Aubigny-en-Artois est une gare ferroviaire française de la ligne d'Arras à Saint-Pol-sur-Ternoise, située sur le territoire de la commune d'Aubigny-en-Artois, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Gare_d%27Aubigny-en-Artois_-_B%C3%A2timent_voyageurs.jpg/280px-Gare_d%27Aubigny-en-Artois_-_B%C3%A2timent_voyageurs.jpg
Aubin-Saint-Vaast;87316604;62140;c;830;830;5;5;126;126;83;83;3;3;32;32;46;46;9.0;La gare d'Aubin-Saint-Vaast est une gare ferroviaire française de la ligne de Saint-Pol-sur-Ternoise à Étaples, située sur le territoire de la commune d'Aubin-Saint-Vaast, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/AUBIN_SAINT_VAAST.jpg/1024px-AUBIN_SAINT_VAAST.jpg
Auchy-lès-Hesdin;87317230;62770;c;7418;7418;589;589;1133;1133;1414;1414;5041;5041;7936;7936;9640;9640;16.0;La gare d'Auchy-lès-Hesdin est une gare ferroviaire française de la ligne de Saint-Pol-sur-Ternoise à Étaples, située sur le territoire de la commune d'Auchy-lès-Hesdin, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/AUCHY_LES_HESDIN.jpg/1024px-AUCHY_LES_HESDIN.jpg
Audruicq;87281428;62370;b;232323;290404;197448;246811;250145;312681;233256;291570;244600;305750;233684;292105;231014;288767;54.0;La gare d'Audruicq est une gare ferroviaire française de la ligne de Lille aux Fontinettes, située sur le territoire de la commune d'Audruicq dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Audruicq_%28Pas-de-Calais%29_la_gare_%2802%29.JPG/1024px-Audruicq_%28Pas-de-Calais%29_la_gare_%2802%29.JPG
Aulnoye-Aymeries;87295600;59620;b;511434;639292;451188;563985;621126;776408;597836;747296;614240;767801;580610;725763;604945;756182;135.0;La gare d'Aulnoye-Aymeries est une gare ferroviaire française des lignes de Creil à Jeumont et de Fives à Hirson, située sur le territoire de la commune d'Aulnoye-Aymeries, dans le département du Nord, en région Hauts-de-France.  Elle est mise en service en 1855, par la Compagnie des chemins de fer du Nord. C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Gare_d%27Aulnoye_%28Nord%29_cot%C3%A9_ville.JPG/280px-Gare_d%27Aulnoye_%28Nord%29_cot%C3%A9_ville.JPG
Avesnelles;87295725;59440;c;2318;2318;2791;2791;7084;7084;6868;6868;5569;5569;4698;4698;6201;6201;5.0;La gare d'Avesnelles est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune d'Avesnelles, dans le département du Nord, en région Hauts-de-France.  C'est une halte voyageurs de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Avesnelles_-_Gare_-_1.JPG/1024px-Avesnelles_-_Gare_-_1.JPG
Avesnes-sur-Helpe;87295733;59440;b;120372;150465;111552;139440;170792;213490;153358;191697;165722;207153;160636;200795;181071;226339;50.0;La gare d'Avesnes est une gare ferroviaire française de la ligne de Fives à Hirson, située sur le territoire de la commune d'Avesnes-sur-Helpe, dans le département du Nord, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/AVESNES.JPG/1024px-AVESNES.JPG
Avion;87342584;62210;c;47150;47150;45458;45458;84499;84499;78849;78849;83024;83024;77329;77329;79387;79387;32.0;La gare d'Avion est une gare ferroviaire française de la ligne d'Arras à Dunkerque-Locale, située sur le territoire de la commune d'Avion, dans le département du Pas-de-Calais, en région Hauts-de-France.  C'est une gare de la Société nationale des chemins de fer français (SNCF), desservie par des trains TER Hauts-de-France. ;https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Gare_d%27Avion_-_2.JPG/800px-Gare_d%27Avion_-_2.JPG
