stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
62:27427,62:27427,"LIGNY-SUR-CANCHE - Grand Route - F N°3","",50.280448,2.256358,,,0,STOPAREA:62:7519,,
62:27428,62:27428,"FREVENT - Caserne des Pompiers - Abri","",50.277328,2.278115,,,0,STOPAREA:62:6987,,
62:27429,62:27429,"FREVENT - Caserne des Pompiers - N°50","",50.277333,2.27823,,,0,STOPAREA:62:6987,,
62:27431,62:27431,"FREVENT - Gendarmerie - F Abri","",50.274106,2.28706,,,0,STOPAREA:62:6991,,
62:27432,62:27432,"FREVENT - La Poste - Rue de Doullens - Pkg","",50.275961,2.291818,,,0,STOPAREA:62:6993,,
62:27433,62:27433,"FREVENT - Jean Jaurès - N°7","",50.277802,2.293457,,,0,STOPAREA:62:6992,,
62:27434,62:27434,"SAINT-FOLQUIN - Ecole Sacré Coeur - Entrée","",50.945737,2.121044,,,0,STOPAREA:62:8412,,
62:27435,62:27435,"FREVENT - Cercamp - N°128 - Abri","",50.269221,2.296942,,,0,STOPAREA:62:6988,,
62:27437,62:27437,"FREVENT - Cercamp - F N°128","",50.269181,2.296999,,,0,STOPAREA:62:6988,,
62:27438,62:27438,"BOURET-SUR-CANCHE - Route Nationale - F N°349 - Abri","",50.266248,2.320859,,,0,STOPAREA:62:6207,,
62:27439,62:27439,"BOURET-SUR-CANCHE - Route Nationale - N°349","",50.266279,2.32105,,,0,STOPAREA:62:6207,,
62:27441,62:27441,"REBREUVE-SUR-CANCHE - Rue du 14 Juillet - Abri","",50.265039,2.339586,,,0,STOPAREA:62:8202,,
62:27442,62:27442,"REBREUVE-SUR-CANCHE - Rue du 14 Juillet","",50.265073,2.339696,,,0,STOPAREA:62:8202,,
62:27443,62:27443,"REBREUVIETTE - Mairie - Ecole - Abri","",50.262821,2.361006,,,0,STOPAREA:62:8205,,
62:27444,62:27444,"REBREUVIETTE - Mairie - Ecole - F N°59","",50.262859,2.361148,,,0,STOPAREA:62:8205,,
62:27448,62:27448,"REBREUVIETTE - Rue d'en Haut - Abri","",50.265178,2.374107,,,0,STOPAREA:62:8206,,
62:27449,62:27449,"REBREUVIETTE - Rue d'en Haut","",50.265214,2.374088,,,0,STOPAREA:62:8206,,
62:27452,62:27452,"ESTREE-WAMIN - Mairie - N°8","",50.269177,2.394003,,,0,STOPAREA:62:6834,,
62:27455,62:27455,"ESTREE-WAMIN - Route d'Arras - Abri","",50.269181,2.404681,,,0,STOPAREA:62:6836,,
62:27456,62:27456,"ESTREE-WAMIN - Route d'Arras","",50.269196,2.40425,,,0,STOPAREA:62:6836,,
62:27459,62:27459,"BERLENCOURT-LE-CAUROY - La Cauroy - R des Platanes - Abri","",50.26578,2.426884,,,0,STOPAREA:62:9137,,
