CODE_UIC;LIBELLE;FRET;VOYAGEURS;CODE_LIGNE;RG_TRONCON;PK;COMMUNE;DEPARTEMEN;IDRESEAU;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;GeoPoint;GeoShape
87313759;Abancourt;N;O;321000;1;050+840;ABANCOURT;OISE;2787;295fd798-dfbc-11e3-a2ff-01a464e0362d;611530,9092;6954737,779;1,774718285;49,68553371;49.68553371297622, 1.774718285053579;49.68553371202784, 1.7747182850535776;"{""coordinates"":[1.774718285053578,49.68553371202784],""type"":""Point""}"
87313718;St-Omer-en-Chaussée;N;O;325000;1;094+208;SAINT-OMER-EN-CHAUSSÉE;OISE;6613;295e587e-dfbc-11e3-a2ff-01a464e0362d;627355,2556;6937225,328;1,996937424;49,53018327;49.53018327274132, 1.9969374240896907;49.530183271791365, 1.9969374240896898;"{""coordinates"":[1.99693742408969,49.530183271791365],""type"":""Point""}"
87743005;Bourg-en-Bresse;O;O;886000;1;065+146;BOURG-EN-BRESSE;AIN;3332;d94753d0-6667-11e3-89ff-01f464e0362d;870878,8832;6568607,52;5,216110623;46,19572681;46.19572681480001, 5.216110623445346;46.195726813841475, 5.216110623445346;"{""coordinates"":[5.216110623445346,46.195726813841475],""type"":""Point""}"
87281139;Cassel;N;O;301000;1;273+807;OXELAËRE;NORD;3500;e0033cec-19bf-11e5-82ff-01fc64e0362d;661971,3681;7076850,471;2,461746473;50,78700163;50.78700163077851, 2.461746472715491;50.78700162984173, 2.4617464727154896;"{""coordinates"":[2.46174647271549,50.78700162984173],""type"":""Point""}"
87743302;Ceyzériat;N;O;884000;1;009+864;CEYZÉRIAT;AIN;3540;c0eb3e52-f312-11e3-90ff-015864e0362d;879368,3514;6567474,857;5,325714964;46,18333333;46.183333329044686, 5.3257149641988315;46.183333328086086, 5.3257149641988315;"{""coordinates"":[5.325714964198832,46.183333328086086],""type"":""Point""}"
87276279;Orry-la-Ville-Coye;N;O;272000;1;035+046;ORRY-LA-VILLE;OISE;5874;29badff8-dfbc-11e3-a2ff-01a464e0362d;662727,6683;6893404,468;2,489245365;49,13934198;49.13934197598411, 2.4892453647281534;49.139341975030284, 2.4892453647281525;"{""coordinates"":[2.489245364728152,49.139341975030284],""type"":""Point""}"
87317222;Hesdin;N;O;308000;1;101+161;HESDIN;PAS-DE-CALAIS;4448;d9e163f4-6667-11e3-89ff-01f464e0362d;631286,769;7031602,551;2,035297449;50,37830124;50.37830124171442, 2.035297449002732;50.37830124077323, 2.0352974490027305;"{""coordinates"":[2.03529744900273,50.37830124077323],""type"":""Point""}"
87313726;Marseille-en-Beauvaisis;N;O;325000;1;100+078;MARSEILLE-EN-BEAUVAISIS;OISE;5394;e008bdc0-19bf-11e5-82ff-01fc64e0362d;624355,3805;6941801,14;1,954684191;49,57095251;49.57095250613924, 1.954684190772344;49.57095250518969, 1.954684190772342;"{""coordinates"":[1.954684190772342,49.57095250518969],""type"":""Point""}"
87316208;Wacquemoulin;N;O;232000;1;098+320;WACQUEMOULIN;OISE;7339;d9e0a37c-6667-11e3-89ff-01f464e0362d;671860,4011;6933796,316;2,61166973;49,50289085;49.50289085206648, 2.611669730158165;49.50289085111624, 2.611669730158164;"{""coordinates"":[2.611669730158164,49.50289085111624],""type"":""Point""}"
87743005;Bourg-en-Bresse;O;O;880000;1;505+487;BOURG-EN-BRESSE;AIN;3332;d94753d0-6667-11e3-89ff-01f464e0362d;870781,3977;6569022,095;5,214997788;46,19948315;46.19948315282448, 5.2149977876802724;46.199483151865955, 5.2149977876802724;"{""coordinates"":[5.214997787680272,46.199483151865955],""type"":""Point""}"
87342055;Béthune-Rivage;O;N;290000;1;039+358;BETHUNE;PAS-DE-CALAIS;3212;e54cd672-6667-11e3-a7ff-01f464e0362d;674939,2984;7048550,493;2,647080447;50,53370085;50.533700850565964, 2.647080447195465;50.533700849626456, 2.647080447195464;"{""coordinates"":[2.647080447195464,50.533700849626456],""type"":""Point""}"
87317206;Maresquel;N;O;308000;1;109+749;MARESQUEL-ECQUEMICOURT;PAS-DE-CALAIS;5387;d9c5d4ce-6667-11e3-89ff-01f464e0362d;623892,2838;7035005,016;1,930847546;50,40798901;50.40798900521204, 1.9308475459937295;50.40798900427117, 1.9308475459937284;"{""coordinates"":[1.930847545993728,50.40798900427117],""type"":""Point""}"
87276691;Compiègne;O;O;242000;1;083+559;MARGNY-LÈS-COMPIÈGNE;OISE;3787;e172a068-19bf-11e5-a6ff-01fc64e0362d;687213,6295;6924782,018;2,823822783;49,42236607;49.422366072064975, 2.8238227825394318;49.42236607111393, 2.8238227825394318;"{""coordinates"":[2.823822782539432,49.42236607111393],""type"":""Point""}"
87313452;Guillaucourt;O;N;261000;1;024+966;GUILLAUCOURT;SOMME;4386;295aa3f2-dfbc-11e3-a2ff-01a464e0362d;673714,0284;6971861,535;2,634820288;49,84500598;49.8450059798228, 2.6348202876097586;49.84500597887604, 2.6348202876097577;"{""coordinates"":[2.634820287609758,49.84500597887604],""type"":""Point""}"
