stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
02:00356,02:00356,"MONT D O. - ABRI","",49.84253,3.50053,,,0,,,
02:00376,02:00376,"GUISE - ECOLE DU CENTRE","",49.89813,3.62812,,,0,,,
02:00377,02:00377,"GUISE - JEANNE D'ARC","",49.90242,3.62605,,,0,,,
02:00378,02:00378,"GUISE - LYCEE FRANCOISE DOLTO","",49.90415,3.6384,,,0,,,
02:00379,02:00379,"GUISE - COLL. CAMILLE DESMOULINS","",49.9038,3.63514,,,0,,,
02:00383,02:00383,"ORIGNY STE B. - X ST GERMAIN","",49.83621,3.49595,,,0,,,
02:00393,02:00393,"GUISE - PLACE LESUR","",49.89853,3.62782,,,0,,,
02:00398,02:00398,"ST QUENTIN - LYCEE COLARD NOEL","",49.86291,3.30809,,,0,,,
02:00401,02:00401,"RENANSART - ABRI FACE MAIRIE","",49.73487,3.46297,,,0,,,
02:00402,02:00402,"SURFONTAINE - EGLISE","",49.75059,3.46555,,,0,,,
02:00408,02:00408,"THENELLES -FACE ABRI EGLISE","",49.83224,3.46974,,,0,,,
02:00409,02:00409,"REGNY - ABRI","",49.82928,3.42882,,,0,,,
02:00411,02:00411,"ST QUENTIN - RUE H.DUNANT","",49.8545,3.30495,,,0,,,
02:00426,02:00426,"NEUVILLE ST A. - MAIRIE ECOLE","",49.8256,3.33191,,,0,,,
02:00438,02:00438,"RIBEMONT - LUCY ABRI","",49.80851,3.47636,,,0,,,
02:00440,02:00440,"MONT D O. - FACE ABRI","",49.84245,3.50049,,,0,,,
02:00444,02:00444,"THENELLES - PLACE ABRI","",49.83009,3.46777,,,0,,,
02:00447,02:00447,"MARCY - ABRI","",49.85032,3.40417,,,0,,,
02:00456,02:00456,"CHAOURSE - MOULIN DE JEUNE","",49.70924,3.98713,,,0,,,
02:00457,02:00457,"AGNICOURT ET S. - SECHELLES ABRI","",49.71324,3.97759,,,0,,,
02:00461,02:00461,"TAVAUX ET P. - ABRI 1 R.DE MALAIS","",49.7299,3.90952,,,0,,,
02:00463,02:00463,"TAVAUX ET P. - FACE ABRI EGL PONT","",49.72422,3.90782,,,0,,,
02:00464,02:00464,"TAVAUX ET P. - X DE L'ESPERANCE","",49.7061,3.91179,,,0,,,
02:00469,02:00469,"CUIRIEUX - ABRI","",49.68173,3.81499,,,0,,,
02:00472,02:00472,"MONCEAU LE W. - ABRI","",49.61919,3.71448,,,0,,,
02:00476,02:00476,"NOYALES - PLACE ABRI","",49.89848,3.55484,,,0,,,
02:00477,02:00477,"VADENCOURT - BOHERIES ABRI","",49.91593,3.57319,,,0,,,
