service_id,date,exception_type
000030,20231030,1
000030,20231031,1
000030,20231101,1
000030,20231102,1
000030,20231103,1
000030,20231104,1
000030,20231105,1
000030,20231106,1
000030,20231107,1
000030,20231108,1
000030,20231109,1
000030,20231110,1
000030,20231111,1
000030,20231112,1
000030,20231113,1
000030,20231114,1
000030,20231115,1
000030,20231116,1
000030,20231117,1
000030,20231118,1
000030,20231119,1
000030,20231120,1
000030,20231121,1
000030,20231122,1
000030,20231123,1
000030,20231124,1
000030,20231126,1
000030,20231127,1
000030,20231128,1
000030,20231129,1
000030,20231130,1
000030,20231201,1
000030,20231202,1
000030,20231203,1
000030,20231204,1
000030,20231205,1
000030,20231206,1
000030,20231207,1
000030,20231208,1
000030,20231209,1
000031,20231211,1
000031,20231218,1
000031,20231226,1
000031,20240102,1
000031,20240108,1
000032,20231215,1
000032,20231222,1
000032,20231225,1
000032,20231229,1
000032,20240101,1
000032,20240105,1
000033,20231210,1
000033,20231217,1
000033,20231224,1
000033,20231231,1
000033,20240107,1
000034,20231014,1
000034,20231015,1
000034,20231021,1
000034,20231022,1
000034,20231028,1
000034,20231029,1
000034,20231104,1
000034,20231105,1
000034,20231111,1
000034,20231112,1
000034,20231118,1
000034,20231119,1
000034,20231125,1
000034,20231202,1
000034,20231203,1
000034,20231209,1
000035,20231016,1
000035,20231017,1
000035,20231018,1
000035,20231019,1
000035,20231023,1
000035,20231024,1
000035,20231025,1
000035,20231026,1
000035,20231030,1
000035,20231031,1
000035,20231102,1
000035,20231106,1
000035,20231107,1
000035,20231108,1
000035,20231109,1
000035,20231113,1
000035,20231114,1
000035,20231115,1
000035,20231116,1
000035,20231120,1
000035,20231121,1
000035,20231122,1
000035,20231123,1
000035,20231127,1
000035,20231128,1
000035,20231129,1
000035,20231130,1
000035,20231204,1
000035,20231205,1
000035,20231206,1
000035,20231207,1
000036,20231014,1
000036,20231015,1
000036,20231021,1
000036,20231022,1
000036,20231028,1
000036,20231029,1
000036,20231104,1
000036,20231105,1
000036,20231111,1
000036,20231112,1
000036,20231118,1
000036,20231119,1
000036,20231126,1
000036,20231202,1
000036,20231203,1
000036,20231209,1
000037,20231211,1
000037,20231212,1
000037,20231213,1
000037,20231214,1
000037,20231215,1
000037,20231216,1
000037,20231218,1
000037,20231219,1
000037,20231220,1
000037,20231221,1
000037,20231222,1
000037,20231223,1
000037,20231226,1
000037,20231227,1
000037,20231228,1
000037,20231229,1
000037,20231230,1
000037,20240102,1
000037,20240103,1
000037,20240104,1
000037,20240105,1
000037,20240106,1
000037,20240108,1
000037,20240109,1
000038,20231014,1
000038,20231016,1
000038,20231017,1
000038,20231018,1
000038,20231019,1
000038,20231020,1
000038,20231021,1
000038,20231023,1
000038,20231024,1
000038,20231025,1
000038,20231026,1
000038,20231027,1
000038,20231028,1
000038,20231030,1
000038,20231031,1
000038,20231101,1
000038,20231102,1
000038,20231103,1
